Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
SCYX,"SCYNEXIS, Inc.",1.17,62771984.73,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/scyx,
SEAC,"SeaChange International, Inc.",1.78,65161280.58,,1996.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/seac,
SBCF,Seacoast Banking Corporation of Florida,26.26,1350131324.88,,,Finance,Major Banks,https://www.nasdaq.com/symbol/sbcf,
STX,Seagate Technology PLC,48.08,13310602064.4,,2002.0,Technology,Electronic Components,https://www.nasdaq.com/symbol/stx,
SHIP,Seanergy Maritime Holdings Corp,0.6089,14853088.8946,,,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/ship,
SHIPW,Seanergy Maritime Holdings Corp,0.015,0.0,,,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/shipw,
SHIPZ,Seanergy Maritime Holdings Corp,0.22,1325176.38,,,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/shipz,
SHOS,"Sears Hometown and Outlet Stores, Inc.",2.5,56755330.0,,,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/shos,
SPNE,SeaSpine Holdings Corporation,12.83,242455823.1,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/spne,
SGEN,"Seattle Genetics, Inc.",73.36,11863792478.16,,2001.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/sgen,
EYES,"Second Sight Medical Products, Inc.",0.8476,105270191.7436,,2014.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/eyes,
EYESW,"Second Sight Medical Products, Inc.",0.21,0.0,,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/eyesw,
SECO,Secoo Holding Limited,8.085,119202960.03,14743718.0,2017.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/seco,
SCWX,SecureWorks Corp.,11.86,966834683.66,,2016.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/scwx,
SNFCA,Security National Financial Corporation,5.08,88954391.56,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/snfca,
SEEL,"Seelos Therapeutics, Inc.",1.72,36596833.88,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/seel,
SEIC,SEI Investments Company,59.68,9102404521.44,,1981.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/seic,
SLCT,"Select Bancorp, Inc.",11.34,219162339.9,,,Finance,Major Banks,https://www.nasdaq.com/symbol/slct,
SIC,"Select Interior Concepts, Inc.",10.99,283775251.76,,,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/sic,
SELB,"Selecta Biosciences, Inc.",1.6,71660840.0,,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/selb,
SIGI,"Selective Insurance Group, Inc.",74.89,4435833479.91,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/sigi,
SLS,"SELLAS Life Sciences Group, Inc. ",0.14300000000000002,32316939.941,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sls,
LEDS,SemiLEDS Corporation,2.59,9295548.85,,2010.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/leds,
SMTC,Semtech Corporation,53.09,3539887610.63,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/smtc,
SENEA,Seneca Foods Corp.,29.39,278614554.9,,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/senea,
SENEB,Seneca Foods Corp.,29.1,275865381.0,,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/seneb,
SNES,"SenesTech, Inc.",1.33,37591802.29,,2016.0,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/snes,
SNH,Senior Housing Properties Trust,8.34,1982637934.14,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/snh,
SNHNI,Senior Housing Properties Trust,22.36,0.0,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/snhni,
SNHNL,Senior Housing Properties Trust,25.0396,0.0,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/snhnl,
AIHS,Senmiao Technology Limited,1.29,35767334.64,,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/aihs,
SRTS,"Sensus Healthcare, Inc.",4.9,80939385.8,,2016.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/srts,
SRTSW,"Sensus Healthcare, Inc.",0.2601,0.0,,2016.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/srtsw,
STNL,Sentinel Energy Services Inc.,10.19,439443750.0,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/stnl,
STNLU,Sentinel Energy Services Inc.,10.24,0.0,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/stnlu,
STNLW,Sentinel Energy Services Inc.,0.57,0.0,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/stnlw,
SQBG,"Sequential Brands Group, Inc.",0.4554,29443110.0876,,,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/sqbg,
MCRB,"Seres Therapeutics, Inc.",2.79,195058413.9,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mcrb,
SREV,"ServiceSource International, Inc.",0.91,84910226.31,,2011.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/srev,
SFBS,"ServisFirst Bancshares, Inc.",33.3,1782445170.6,,2014.0,Finance,Major Banks,https://www.nasdaq.com/symbol/sfbs,
SESN,"Sesen Bio, Inc.",1.2,96917737.2,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sesn,
SVBI,Severn Bancorp Inc,8.6,109865748.2,,,Finance,Major Banks,https://www.nasdaq.com/symbol/svbi,
SGBX,"SG Blocks, Inc.",0.79,4035154.89,,2017.0,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/sgbx,
SGOC,"SGOCO Group, Ltd",1.15,92030644.05,,2010.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/sgoc,
SMED,Sharps Compliance Corp.,3.75,60534423.75,,,Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/smed,
SHSP,"SharpSpring, Inc.",9.92,108406474.24,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/shsp,
SHEN,Shenandoah Telecommunications Co,38.75,1931516883.75,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/shen,
PIXY,"ShiftPixy, Inc.",0.4702,17022230.7114,,2017.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/pixy,
SHLO,"Shiloh Industries, Inc.",5.08,120708242.2,,1993.0,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/shlo,
TYHT,"Shineco, Inc.",0.6701,15326374.4172,,2016.0,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/tyht,
SWAV,"ShockWave Medical, Inc.",49.49,1386333032.63,,2019.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/swav,
SCVL,"Shoe Carnival, Inc.",26.3,386366488.3,,1993.0,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/scvl,
SHBI,Shore Bancshares Inc,16.38,209321199.36,,,Finance,Major Banks,https://www.nasdaq.com/symbol/shbi,
SSTI,"ShotSpotter, Inc.",37.72,427027478.76,,2017.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ssti,
SFLY,"Shutterfly, Inc.",50.59,1735228855.01,,2006.0,Miscellaneous,Other Consumer Services,https://www.nasdaq.com/symbol/sfly,
SIBN,"SI-BONE, Inc.",19.38,476040746.28,,2018.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/sibn,
SIEB,Siebert Financial Corp.,11.13,302259502.44,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sieb,
SNNA,"Sienna Biopharmaceuticals, Inc.",0.8012,24470232.7736,,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/snna,
SIEN,"Sientra, Inc.",5.8,285451083.2,,2014.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/sien,
BSRR,Sierra Bancorp,25.65,393279907.5,,,Finance,Major Banks,https://www.nasdaq.com/symbol/bsrr,
SRRA,"Sierra Oncology, Inc.",0.503,37568206.349,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/srra,
SWIR,"Sierra Wireless, Inc.",11.72,423681504.28,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/swir,
SIFY,Sify Technologies Limited,1.3899,35735489.5665,25710835.0,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/sify,
SIGA,SIGA Technologies Inc.,5.42,438703060.08,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/siga,
SGLB,"Sigma Labs, Inc.",1.17,12796980.3,,,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/sglb,
SGLBW,"Sigma Labs, Inc.",0.35,0.0,,,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/sglbw,
SGMA,"SigmaTron International, Inc.",4.3,18189034.4,,1994.0,Technology,Electrical Products,https://www.nasdaq.com/symbol/sgma,
SBNY,Signature Bank,123.98,6830780011.56,,2004.0,Finance,Major Banks,https://www.nasdaq.com/symbol/sbny,
SLGN,Silgan Holdings Inc.,30.29,3366506718.77,,1997.0,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/slgn,
SILC,Silicom Ltd,30.0,228003660.0,,,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/silc,
SLAB,"Silicon Laboratories, Inc.",112.27,4866215948.09,,2000.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/slab,
SIMO,Silicon Motion Technology Corporation,41.21,1501872487.7,36444370.0,2005.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/simo,
SILK,"Silk Road Medical, Inc.",41.91,1285468758.75,,2019.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/silk,
SAMG,Silvercrest Asset Management Group Inc.,13.69,184181358.35,,2013.0,Finance,Investment Managers,https://www.nasdaq.com/symbol/samg,
SSNT,"SilverSun Technologies, Inc.",3.02,13592280.1,,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ssnt,
SFNC,Simmons First National Corporation,25.48,2461129914.88,,,Finance,Major Banks,https://www.nasdaq.com/symbol/sfnc,
SLP,"Simulations Plus, Inc.",38.99,683552678.13,,,Technology,EDP Services,https://www.nasdaq.com/symbol/slp,
SINA,Sina Corporation,40.37,2800391811.8,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sina,
SBGI,"Sinclair Broadcast Group, Inc.",56.29,5142317222.9,,1995.0,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/sbgi,
SINO,"Sino-Global Shipping America, Ltd.",0.6601,10294723.5503,,,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/sino,
SVA,"Sinovac Biotech, Ltd.",6.47,460249285.94,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sva,
SINT,"SiNtx Technologies, Inc.",0.0907,1976683.2387,,2014.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/sint,
SG,"Sirius International Insurance Group, Ltd.",11.5,1325516484.5,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/sg,
SIRI,Sirius XM Holdings Inc.,6.14,28288728322.02,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/siri,
SITO,"SITO Mobile, Ltd.",0.65,16667177.8,,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/sito,
SKYS,"Sky Solar Holdings, Ltd.",0.5397,7968278.1381,14764273.0,2014.0,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/skys,
SKYW,"SkyWest, Inc.",61.1,3113986551.0,,1986.0,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/skyw,
SWKS,"Skyworks Solutions, Inc.",85.66,14792932234.12,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/swks,
SNBR,Sleep Number Corporation,41.77,1261997010.0,,,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/snbr,
SLM,SLM Corporation,9.16,3907610108.4,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/slm,
SLMBP,SLM Corporation,58.62,234480000.0,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/slmbp,
SGH,"SMART Global Holdings, Inc.",32.16,754600503.36,,2017.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/sgh,
SND,"Smart Sand, Inc.",2.34,95864340.78,,2016.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/snd,
SMBK,"SmartFinancial, Inc.",22.22,310004329.8,,,Finance,Major Banks,https://www.nasdaq.com/symbol/smbk,
SMSI,"Smith Micro Software, Inc.",3.45,110634448.2,,1995.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/smsi,
SMTX,SMTC Corporation,3.81,106663190.28,,2000.0,Technology,Electrical Products,https://www.nasdaq.com/symbol/smtx,
